timestamp,category,provider,model,deployment,test_id,run_id,latency_ms,ttft_ms,input_size,output_size,input_unit,output_unit,cost_usd,quality_metric,quality_metric_name,output_preview,error
2026-05-24T01:47:49.526+00:00,tts,elevenlabs,eleven_multilingual_v2,cloud,t3_parrafo_largo,2,4289.466300047934,,415,449768,chars,bytes,0.1245,,,elevenlabs_t3_parrafo_largo_run2.mp3,
2026-05-24T01:47:54.037+00:00,tts,elevenlabs,eleven_multilingual_v2,cloud,t3_parrafo_largo,3,4510.998700046912,,415,472755,chars,bytes,0.1245,,,elevenlabs_t3_parrafo_largo_run3.mp3,
2026-05-24T01:47:58.595+00:00,tts,elevenlabs,eleven_multilingual_v2,cloud,t3_parrafo_largo,4,4557.616299949586,,415,487802,chars,bytes,0.1245,,,elevenlabs_t3_parrafo_largo_run4.mp3,
2026-05-24T01:48:03.255+00:00,tts,elevenlabs,eleven_multilingual_v2,cloud,t3_parrafo_largo,5,4659.913799958304,,415,479443,chars,bytes,0.1245,,,elevenlabs_t3_parrafo_largo_run5.mp3,
2026-05-24T01:48:07.898+00:00,tts,openai,gpt-4o-mini-tts,cloud,t1_saludo_corto,1,3285.835499991663,,51,83328,chars,bytes,0.0306,,,openai_t1_saludo_corto_run1.mp3,
2026-05-24T01:48:09.155+00:00,tts,openai,gpt-4o-mini-tts,cloud,t1_saludo_corto,2,1256.7912000231445,,51,82560,chars,bytes,0.0306,,,openai_t1_saludo_corto_run2.mp3,
2026-05-24T01:48:10.787+00:00,tts,openai,gpt-4o-mini-tts,cloud,t1_saludo_corto,3,1631.3622000161558,,51,65664,chars,bytes,0.0306,,,openai_t1_saludo_corto_run3.mp3,
2026-05-24T01:48:12.353+00:00,tts,openai,gpt-4o-mini-tts,cloud,t1_saludo_corto,4,1565.824200049974,,51,71424,chars,bytes,0.0306,,,openai_t1_saludo_corto_run4.mp3,
2026-05-24T01:48:13.654+00:00,tts,openai,gpt-4o-mini-tts,cloud,t1_saludo_corto,5,1301.0083999251947,,51,72192,chars,bytes,0.0306,,,openai_t1_saludo_corto_run5.mp3,
2026-05-24T01:48:15.908+00:00,tts,openai,gpt-4o-mini-tts,cloud,t2_oracion_media,1,2253.780100028962,,144,165888,chars,bytes,0.0864,,,openai_t2_oracion_media_run1.mp3,
2026-05-24T01:48:19.511+00:00,tts,openai,gpt-4o-mini-tts,cloud,t2_oracion_media,2,3603.5226999083534,,144,165888,chars,bytes,0.0864,,,openai_t2_oracion_media_run2.mp3,
2026-05-24T01:48:22.677+00:00,tts,openai,gpt-4o-mini-tts,cloud,t2_oracion_media,3,3164.909200044349,,144,177792,chars,bytes,0.0864,,,openai_t2_oracion_media_run3.mp3,
2026-05-24T01:48:24.784+00:00,tts,openai,gpt-4o-mini-tts,cloud,t2_oracion_media,4,2107.878200011328,,144,175488,chars,bytes,0.0864,,,openai_t2_oracion_media_run4.mp3,
2026-05-24T01:48:27.173+00:00,tts,openai,gpt-4o-mini-tts,cloud,t2_oracion_media,5,2388.44530005008,,144,173568,chars,bytes,0.0864,,,openai_t2_oracion_media_run5.mp3,
2026-05-24T01:48:31.838+00:00,tts,openai,gpt-4o-mini-tts,cloud,t3_parrafo_largo,1,4664.436000050046,,415,458496,chars,bytes,0.249,,,openai_t3_parrafo_largo_run1.mp3,
2026-05-24T01:48:36.234+00:00,tts,openai,gpt-4o-mini-tts,cloud,t3_parrafo_largo,2,4395.7121999701485,,415,434688,chars,bytes,0.249,,,openai_t3_parrafo_largo_run2.mp3,
2026-05-24T01:48:41.037+00:00,tts,openai,gpt-4o-mini-tts,cloud,t3_parrafo_largo,3,4803.558699903078,,415,457728,chars,bytes,0.249,,,openai_t3_parrafo_largo_run3.mp3,
2026-05-24T01:48:46.430+00:00,tts,openai,gpt-4o-mini-tts,cloud,t3_parrafo_largo,4,5392.017100006342,,415,457728,chars,bytes,0.249,,,openai_t3_parrafo_largo_run4.mp3,
2026-05-24T01:48:52.005+00:00,tts,openai,gpt-4o-mini-tts,cloud,t3_parrafo_largo,5,5575.383499963209,,415,453888,chars,bytes,0.249,,,openai_t3_parrafo_largo_run5.mp3,
2026-05-24T03:33:22.816+00:00,tts,piper,es_ES-davefx-medium,local,t1_saludo_corto,1,1083.8734999997541,,51,149780,chars,bytes,0.0,,,piper_t1_saludo_corto_run1.wav,
2026-05-24T03:33:23.957+00:00,tts,piper,es_ES-davefx-medium,local,t1_saludo_corto,2,1140.946100000292,,51,151828,chars,bytes,0.0,,,piper_t1_saludo_corto_run2.wav,
2026-05-24T03:33:25.129+00:00,tts,piper,es_ES-davefx-medium,local,t1_saludo_corto,3,1171.7707999050617,,51,148244,chars,bytes,0.0,,,piper_t1_saludo_corto_run3.wav,
2026-05-24T03:33:26.030+00:00,tts,piper,es_ES-davefx-medium,local,t1_saludo_corto,4,900.6935999495909,,51,150292,chars,bytes,0.0,,,piper_t1_saludo_corto_run4.wav,
2026-05-24T03:33:26.959+00:00,tts,piper,es_ES-davefx-medium,local,t1_saludo_corto,5,929.1149999480695,,51,152852,chars,bytes,0.0,,,piper_t1_saludo_corto_run5.wav,
2026-05-24T03:33:28.635+00:00,tts,piper,es_ES-davefx-medium,local,t2_oracion_media,1,1675.149399903603,,144,365332,chars,bytes,0.0,,,piper_t2_oracion_media_run1.wav,
2026-05-24T03:33:29.956+00:00,tts,piper,es_ES-davefx-medium,local,t2_oracion_media,2,1321.128600044176,,144,362260,chars,bytes,0.0,,,piper_t2_oracion_media_run2.wav,
2026-05-24T03:33:31.461+00:00,tts,piper,es_ES-davefx-medium,local,t2_oracion_media,3,1504.949999973178,,144,355604,chars,bytes,0.0,,,piper_t2_oracion_media_run3.wav,
2026-05-24T03:33:32.897+00:00,tts,piper,es_ES-davefx-medium,local,t2_oracion_media,4,1435.588899999857,,144,359700,chars,bytes,0.0,,,piper_t2_oracion_media_run4.wav,
2026-05-24T03:33:34.388+00:00,tts,piper,es_ES-davefx-medium,local,t2_oracion_media,5,1491.4630999555811,,144,354580,chars,bytes,0.0,,,piper_t2_oracion_media_run5.wav,
2026-05-24T03:33:38.595+00:00,tts,piper,es_ES-davefx-medium,local,t3_parrafo_largo,1,4206.324400031008,,415,1112340,chars,bytes,0.0,,,piper_t3_parrafo_largo_run1.wav,
2026-05-24T03:33:41.855+00:00,tts,piper,es_ES-davefx-medium,local,t3_parrafo_largo,2,3260.093400022015,,415,1113876,chars,bytes,0.0,,,piper_t3_parrafo_largo_run2.wav,
2026-05-24T03:33:44.955+00:00,tts,piper,es_ES-davefx-medium,local,t3_parrafo_largo,3,3100.108699989505,,415,1117972,chars,bytes,0.0,,,piper_t3_parrafo_largo_run3.wav,
2026-05-24T03:33:47.687+00:00,tts,piper,es_ES-davefx-medium,local,t3_parrafo_largo,4,2731.137300026603,,415,1113364,chars,bytes,0.0,,,piper_t3_parrafo_largo_run4.wav,
2026-05-24T03:33:50.951+00:00,tts,piper,es_ES-davefx-medium,local,t3_parrafo_largo,5,3264.5563000114635,,415,1125140,chars,bytes,0.0,,,piper_t3_parrafo_largo_run5.wav,
2026-05-24T05:29:45.295+00:00,tts,azure,es-CR-MariaNeural,cloud,t1_saludo_corto,1,918.1667999364436,,51,32112,chars,bytes,0.000816,,,azure_t1_saludo_corto_run1.mp3,
2026-05-24T05:29:46.065+00:00,tts,azure,es-CR-MariaNeural,cloud,t1_saludo_corto,2,767.5518000032753,,51,32112,chars,bytes,0.000816,,,azure_t1_saludo_corto_run2.mp3,
2026-05-24T05:29:46.783+00:00,tts,azure,es-CR-MariaNeural,cloud,t1_saludo_corto,3,604.0429000277072,,51,32112,chars,bytes,0.000816,,,azure_t1_saludo_corto_run3.mp3,
2026-05-24T05:29:47.546+00:00,tts,azure,es-CR-MariaNeural,cloud,t1_saludo_corto,4,649.898900068365,,51,32112,chars,bytes,0.000816,,,azure_t1_saludo_corto_run4.mp3,
2026-05-24T05:29:48.362+00:00,tts,azure,es-CR-MariaNeural,cloud,t1_saludo_corto,5,715.7566000241786,,51,32112,chars,bytes,0.000816,,,azure_t1_saludo_corto_run5.mp3,
2026-05-24T05:29:49.134+00:00,tts,azure,es-CR-MariaNeural,cloud,t2_oracion_media,1,670.6615999573842,,144,61344,chars,bytes,0.002304,,,azure_t2_oracion_media_run1.mp3,
2026-05-24T05:29:49.901+00:00,tts,azure,es-CR-MariaNeural,cloud,t2_oracion_media,2,671.8481000280008,,144,61344,chars,bytes,0.002304,,,azure_t2_oracion_media_run2.mp3,
2026-05-24T05:29:50.685+00:00,tts,azure,es-CR-MariaNeural,cloud,t2_oracion_media,3,688.146400032565,,144,61344,chars,bytes,0.002304,,,azure_t2_oracion_media_run3.mp3,
2026-05-24T05:29:51.534+00:00,tts,azure,es-CR-MariaNeural,cloud,t2_oracion_media,4,754.8452999908477,,144,61344,chars,bytes,0.002304,,,azure_t2_oracion_media_run4.mp3,
2026-05-24T05:29:52.289+00:00,tts,azure,es-CR-MariaNeural,cloud,t2_oracion_media,5,658.5132000036538,,144,61344,chars,bytes,0.002304,,,azure_t2_oracion_media_run5.mp3,
2026-05-24T05:29:53.318+00:00,tts,azure,es-CR-MariaNeural,cloud,t3_parrafo_largo,1,934.3433000613004,,415,162720,chars,bytes,0.00664,,,azure_t3_parrafo_largo_run1.mp3,
2026-05-24T05:29:54.318+00:00,tts,azure,es-CR-MariaNeural,cloud,t3_parrafo_largo,2,900.6541999988258,,415,162720,chars,bytes,0.00664,,,azure_t3_parrafo_largo_run2.mp3,
2026-05-24T05:29:55.211+00:00,tts,azure,es-CR-MariaNeural,cloud,t3_parrafo_largo,3,793.3589000022039,,415,162720,chars,bytes,0.00664,,,azure_t3_parrafo_largo_run3.mp3,
2026-05-24T05:29:56.157+00:00,tts,azure,es-CR-MariaNeural,cloud,t3_parrafo_largo,4,840.6270000850782,,415,162720,chars,bytes,0.00664,,,azure_t3_parrafo_largo_run4.mp3,
2026-05-24T05:29:57.020+00:00,tts,azure,es-CR-MariaNeural,cloud,t3_parrafo_largo,5,754.6598999761045,,415,162720,chars,bytes,0.00664,,,azure_t3_parrafo_largo_run5.mp3,
